,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
157,Simple Habit,Health & Fitness,134466560,2494,5.0,0.0008384106369903815,1.0,0.6003353642547962,0.004912291759404065,1.0,0.6019649167037616,0.6012316181017272,12,2
158,Flow Free,Games,20669440,373857,4.5,0.12567990597967643,0.9,0.5902719623918706,0.1754534084536126,0.9,0.610181363381445,0.6012221329361366,9,2
159,BeautyPlus - Selfie Camera for a Beautiful Image,Photo & Video,128229376,7503,5.0,0.0025222915033435572,1.0,0.6010089166013374,0.00347110741418921,1.0,0.6013884429656756,0.6012176561017234,48,6
160,Super Cat Tales,Games,64337920,7423,5.0,0.0024953978181153176,1.0,0.6009981591272461,0.0034836599313405026,1.0,0.6013934639725361,0.6012155767921556,15,3
161,Slots: DoubleUp Free Slot Games - Slot Machines,Games,168200192,7177,5.0,0.0024126997360384797,1.0,0.6009650798944154,0.0033682106058508404,1.0,0.6013472842423403,0.601175292285774,47,7
162,BuzzFeed Video,Entertainment,45025280,1492,5.0,0.0005015672295066757,1.0,0.6002006268918026,0.004830917874396135,1.0,0.6019323671497584,0.6011530840336783,14,2
163,Meitu,Photo & Video,142101504,6478,5.0,0.0021777161613567328,1.0,0.6008710864645427,0.002996912412250793,1.0,0.6011987649649003,0.6010513096397394,5,1
164,Good Knight Story,Games,153513984,6282,5.0,0.0021118266325475445,1.0,0.600844730653019,0.0029481815557969877,1.0,0.6011792726223187,0.601028728736134,17,3
165,KIXIFY - Buy & Sell Sneakers,Shopping,50725888,1735,5.0,0.0005832567983874547,1.0,0.6002333027193549,0.004152913382434254,1.0,0.6016611653529736,0.6010186271678453,28,4
166,Fish Mania™,Games,141017088,6038,5.0,0.002029800892601413,1.0,0.6008119203570406,0.00283367084270968,1.0,0.6011334683370838,0.6009887717460644,11,2
167,Grumpy Cat's Worst Game Ever,Games,138964992,5170,5.0,0.001738004407875009,1.0,0.6006952017631499,0.0024263130600876196,1.0,0.600970525224035,0.6008466296666368,28,5
168,Crazy Cake Swap,Games,207080448,4638,5.0,0.001559161401107213,1.0,0.6006236645604429,0.002176642161061195,1.0,0.6008706568644244,0.6007595103276329,15,3
169,Slots: Hot Vegas Slot Machines - Free Slot Games,Games,163115008,3938,5.0,0.0013238416553601133,1.0,0.600529536662144,0.0018481278202369528,1.0,0.6007392511280948,0.600644879618417,48,8
170,Printicular Print Photos - 1 Hour Pickup,Photo & Video,54000640,3909,5.0,0.0013140926944648762,1.0,0.600525637077786,0.0018084178171485568,1.0,0.6007233671268594,0.6006343886047764,40,6
171,Slots - Lucky Win Casino Games & Slot Machines,Games,117479424,3807,5.0,0.0012798032457988701,1.0,0.6005119212983195,0.0017866487078827015,1.0,0.6007146594831531,0.600623427299978,46,7
172,Cookie Cats - a singing puzzle adventure,Games,173197312,3687,5.0,0.0012394627179565102,1.0,0.6004957850871826,0.001730331963741403,1.0,0.6006921327854965,0.6006037763212553,40,6
173,Cool Wallpapers for Pokemon,Photo & Video,18546688,3694,5.0,0.0012418159154139812,1.0,0.6004967263661656,0.0017089525240590352,1.0,0.6006835810096236,0.6005994964200676,27,4
174,Buffalo Slots - Royal Casino Fun Slot Machines!,Games,81576960,3153,5.0,0.0010599473690580084,1.0,0.6004239789476232,0.0014797224523126237,1.0,0.6005918889809251,0.6005163294659392,47,7
175,Cookie Clickers 2,Games,63004672,2912,5.0,0.0009789301423079354,1.0,0.6003915720569232,0.0013666196578288488,1.0,0.6005466478631315,0.6004768637503377,17,3
176,Sea Hero Quest,Games,360306688,2908,5.0,0.0009775854580465235,1.0,0.6003910341832186,0.0013647424330241389,1.0,0.6005458969732096,0.6004762087177137,14,3
178,Solitaire ∞,Games,67928064,2865,5.0,0.0009631301022363444,1.0,0.6003852520408945,0.0013445622663735067,1.0,0.6005378249065494,0.6004691671170047,11,2
179,Skiing Yeti Mountain,Games,73926656,2830,5.0,0.0009513641149489894,1.0,0.6003805456459795,0.0013281365493322947,1.0,0.6005312546197329,0.6004634355815439,20,3
180,Flow Free: Hexes,Games,20476928,2791,5.0,0.0009382534434002224,1.0,0.6003753013773601,0.0013098336074863725,1.0,0.6005239334429945,0.6004570490134591,16,3
181,Slots: VIP Deluxe Slots Machines - Free Slot Games,Games,169353216,2732,5.0,0.0009184193505443954,1.0,0.6003673677402177,0.0012821445416169007,1.0,0.6005128578166468,0.6004473872822538,50,8
182,OPUS: The Day We Found Earth,Games,245289984,2491,5.0,0.0008374021237943225,1.0,0.6003349608495177,0.0011690417471331258,1.0,0.6004676166988532,0.6004079215666522,28,6
183,Donut Dazzle,Games,65595392,2317,5.0,0.0007789083584229005,1.0,0.6003115633433691,0.0010873824681282426,1.0,0.6004349529872512,0.6003794276475043,12,2
184,Epic Jackpot Slots: Slot Machines & Bonus Games,Games,181364736,2291,5.0,0.0007701679107237226,1.0,0.6003080671642894,0.0010751805068976278,1.0,0.600430072202759,0.6003751699354478,47,7
185,Pinchworm,Games,100635648,2288,5.0,0.0007691593975276635,1.0,0.600307663759011,0.0010737725882940955,1.0,0.6004295090353177,0.6003746786609797,9,1
186,Patternator Pattern Maker Backgrounds & Wallpapers,Photo & Video,47943680,2092,5.0,0.0007032698687184756,1.0,0.6002813079474874,0.0009678204332245538,1.0,0.6003871281732898,0.6003395090716788,50,5
187,BeautyCam - AR Carnie selfie,Photo & Video,161335296,2082,5.0,0.0006999081580649455,1.0,0.600279963263226,0.0009631941405227155,1.0,0.6003852776562091,0.6003378861793667,28,4
188,⋆Solitaire⋆,Games,44193792,2059,5.0,0.0006921762235618266,1.0,0.6002768704894247,0.0009663014682244503,1.0,0.6003865205872898,0.6003371780432505,11,1
189,Coin Dozer: Casino,Games,151451648,2024,5.0,0.0006804102362744716,1.0,0.6002721640945098,0.0009498757511832382,1.0,0.6003799503004733,0.6003314465077898,18,3
190,100 PICS Coloring - free color in book game app,Games,269298688,1929,5.0,0.0006484739850659366,1.0,0.6002593895940264,0.0009052916620713768,1.0,0.6003621166648285,0.6003158894829675,47,9
191,Stickman Basketball 2017,Games,203829248,1835,5.0,0.0006168739049227547,1.0,0.6002467495619691,0.0008611768791606928,1.0,0.6003444707516643,0.6003004962163014,24,3
192,Forest Rescue 2: Friends United Match 3 Puzzle,Games,88672256,1505,5.0,0.0005059374533562647,1.0,0.6002023749813424,0.0007063058327721213,1.0,0.6002825223331089,0.600246456024814,46,7
193,Cafe Story - Play Cooking & Farming Game,Games,116981760,1498,5.0,0.0005035842558987936,1.0,0.6002014337023595,0.0007030206893638789,1.0,0.6002812082757455,0.6002453097177218,40,6
194,Slots: Fast Fortune Slot Machines & Fun Slot Games,Games,168288256,1474,5.0,0.0004955161503303216,1.0,0.6001982064601321,0.0006917573405356192,1.0,0.6002767029362143,0.6002413795219773,50,8
195,Vintage Slots Las Vegas - Old Slot Machine Games!,Games,69826560,1474,5.0,0.0004955161503303216,1.0,0.6001982064601321,0.0006917573405356192,1.0,0.6002767029362143,0.6002413795219773,49,8
196,4x4 Dirt Track Trials Forest Driving Parking Sim,Games,278811648,1441,5.0,0.0004844225051736727,1.0,0.6001937690020694,0.0006762702358967621,1.0,0.6002705080943587,0.6002359755028286,48,8
197,Stickman Base Jumper 2,Games,323822592,1362,5.0,0.0004578649910107857,1.0,0.6001831459964043,0.0006391950460037404,1.0,0.6002556780184015,0.6002230386085028,22,4
198,Suрer Toss The Turtle,Games,564712448,1339,5.0,0.00045013305650766673,1.0,0.600180053222603,0.0006284010033766581,1.0,0.6002513604013506,0.6002192721709143,21,4
199,Bullet Hell Monday,Games,90488832,1296,5.0,0.0004356777006974877,1.0,0.600174271080279,0.0006082208367260261,1.0,0.6002432883346904,0.6002122305702053,18,3
200,DANDY DUNGEON Legend of Brave Yamada,Games,247331840,1204,5.0,0.00040474996268501177,1.0,0.600161899985074,0.0005650446662176971,1.0,0.6002260178664871,0.6001971648198512,36,6
201,Slots: Get Rich Slot Machines Casino Slot Games,Games,170819584,1168,5.0,0.00039264780433230376,1.0,0.6001570591217329,0.0005481496429753075,1.0,0.60021925985719,0.6001912695262344,47,8
